wetlandtypecode,vyear,grouptypecode,ecramid,cramver,wetlandclass,wetlandsubclass,wetlandtypedisplay,wetlandtyperowid,userid,userid_updatedby,aaname,projectname,assessmentareaid,projectid,visitdate,createdate,lastupdate,practitioners,practitionerother,aacategorydesc,aacomment,legacygid,programcode,centroidlong,centroidlat,aasize_ha,county,ecoregion,aageomcomment,ispublic,isnottest,indexscore,buffer_landscape_cont,hydrology,physical_structure,biotic_structure,bankfulwidth,average_aa_width,length,upstreamlatitude,upstreamlongitude,downstreamlatitude,downstreamlongitude,datum,flowingwater_riverine,hydroregime_riverine,channelform_riverine,tidalstage_riverine,tidalstage_estuarine,mouthcondition,encompass_estuarine,wetlandorigindesc,managetypes,depressionaltypedesc,encompass_depressional,hydrostate_depressional,hydroregime_depressional,connectstreamfloodplain,definedoutlet,definedinlet,inletoutletsamelocation,distincttopobasin,vpcategorydesc,surfacewater,hydrodescription,peatsoils,encompass_slope,hydrostate_slope,hydroregime_slope
dvps,2020,sp,7548,6.2,depressional,vernal pool system,vernal pool system,8,2683,,140 - Stillwater Plains,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",140,307,5/21/20,6/10/20 16:49,19:35.9,Madeline Dills (lead practitioner),,ambient,<p>Point at Stillwater Plains.</p><p>tiny bit of water in pool 7 from recent rain.&nbsp;</p>,,General,-122.26385,40.51807,0.44746,Shasta,sacramento valley,,1,1,79,93.29,91.67,50,79.17,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,1,,,,,natural,,,,,,
dvps,2020,sp,7549,6.2,depressional,vernal pool system,vernal pool system,8,2683,,316 - Vina Plains,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",316,307,5/19/20,6/11/20 9:42,41:12.1,"Cassie Pinnell (lead practitioner), Madeline Dills (other practitioner)",,ambient,<p>Point at Vina Plains.</p><p>3 total AAs.</p>,,General,-121.98403,39.91143,0.31565,Tehama,sacramento valley,,1,1,79,68.29,100,66.67,79.17,,,,,,,,,,,,,,,,,,,,dry,,1,,,,,natural,,,,,,
dvps,2020,sp,7550,6.2,depressional,vernal pool system,vernal pool system,8,2683,,317 - Chance Ranch ,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",317,307,3/30/20,6/11/20 14:19,30:03.4,"John Vollmar (lead practitioner), Misaki  Yonashiro (other practitioner)",,ambient,<p>no pictures taken.&nbsp;</p><p>6 additional potential AAs in 300m2 box.&nbsp;</p>,,General,-120.3709,37.48825,0.27207,Merced,san joaquin valley,,1,1,74,93.29,91.67,83.33,29.17,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,0,,,,,natural,,,,,,
dvps,2020,sp,7551,6.2,depressional,vernal pool system,vernal pool system,8,2683,,347 - TNC Valensin,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",347,307,5/7/20,6/11/20 15:20,34:40.4,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,ambient,"<p>Point at Valensin Ranch.&nbsp;</p><p>Site is dry, dominant vegetation in pools still evident. Site is well-grazed and in good condition. Site surrounded by open space, hydro appears to be undisturbed.&nbsp;</p>",,General,-121.30979,38.35777,0.99253,Sacramento,bay/delta,,1,1,84,80.79,100,83.33,70.83,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2020,sp,7552,6.2,depressional,vernal pool system,vernal pool system,8,2683,,380 - Stillwater Plains,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",380,307,5/21/20,6/11/20 16:09,23:53.0,"John Vollmar (lead practitioner), Madeline Dills (other practitioner)",,ambient,"<p>Some pools wet from recent rain, some saturated.</p><p>Vernal swale runs through system.</p>",,General,-122.26204,40.50867,0.45785,Shasta,sacramento valley,,1,1,69,68.29,91.67,41.67,75,,,,,,,,,,,,,,,,,,,,"saturated soil, but no surface water",,1,,,,,natural,,,,,,
dvps,2020,sp,7553,6.2,depressional,vernal pool system,vernal pool system,8,2683,,322 - Flying M Ranch ,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",322,307,4/1/20,6/11/20 16:35,12:15.9,Madeline Dills (lead practitioner),,ambient,Point at Flying M Ranch. Nearby vernal pool systems are connected with the floodplain of a nearby swales.&nbsp;,,General,-120.31294,37.35108,0.48707,Merced,san joaquin valley,,1,1,81,93.29,100,66.67,62.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
dvps,2020,sp,7554,6.2,depressional,vernal pool system,vernal pool system,8,2683,,338 - Flying M Ranch,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",338,307,4/1/20,6/11/20 17:53,32:34.6,,,ambient,"Point at Flying M Ranch. Eric Smith was lead practitioner, but he is not in the eCRAM system yet. Other nearby potential AAs are connected with the floodplain of a nearby stream. Beautiful site!<br />",,General,-120.3494,37.40232,0.49269,Merced,san joaquin valley,,1,1,90,93.29,100,83.33,83.33,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
dvps,2020,sp,7555,6.2,depressional,vernal pool system,vernal pool system,8,2683,,335 - Gridley Mitigation Bank,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",335,307,5/29/20,6/16/20 13:39,31:29.7,"Misaki  Yonashiro (lead practitioner), Madeline Dills (other practitioner)",,ambient,alkali flat pools.,,General,-121.80107,38.29794,0.44763,Solano,bay/delta,,1,1,67,93.29,100,25,50,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2020,sp,7556,6.2,depressional,vernal pool system,vernal pool system,8,2683,,287,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",287,307,5/29/20,6/16/20 15:41,27:23.4,"Misaki  Yonashiro (lead practitioner), Madeline Dills (other practitioner)",,mitigation,<p>The Lindsey Slough runs through the southern end of the property.</p><p>Possibly part of Elsie Gridley Mitigation Bank? It's unclear from research whether this is true.&nbsp;</p>,,General,-121.80293,38.2803,6.38401,Solano,bay/delta,,1,1,80,93.29,91.67,66.67,66.67,,,,,,,,,,,,,,,,,,,portion of the wetland,,,0,,,,,created - portion of wetland,,,,,,
dvps,2020,sp,7557,6.2,depressional,vernal pool system,vernal pool system,8,2683,,286 - McKinney Ranch,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",286,307,4/1/20,6/16/20 16:46,47:13.2,"Henry Hwang (lead practitioner), Madeline Dills (other practitioner)",,ambient,"Eric Smith was also a practitioner, will add when he is added to eCRAM system.",,General,-119.93897,36.97224,0.89383,Madera,san joaquin valley,,1,1,60,80.79,100,25,33.33,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2020,sp,7558,6.2,depressional,vernal pool system,vernal pool system,8,2683,,370 - UC Merced Reserve East,"Vernal Pool System CDF Central Valley 2020-2021, Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",370,307,5/12/20,6/16/20 17:33,31:09.0,"Cassie Pinnell (lead practitioner), Madeline Dills (other practitioner)",,ambient,,,General,-120.40483,37.36864,0.16133,Merced,san joaquin valley,,1,1,90,93.29,100,83.33,83.33,,,,,,,,,,,,,,,,,,,,dry,,0,,,,,natural,,,,,,
dvps,2020,sp,7559,6.2,depressional,vernal pool system,vernal pool system,8,2683,,222 - McKinney Ranch ,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",222,307,4/1/20,6/16/20 18:28,14:02.4,"Madeline Dills (lead practitioner), Henry Hwang (other practitioner)",,ambient,"Eric Smith also a practitioner, will add after he is added to eCRAM website",,General,-119.9227,36.97687,1.82774,Madera,san joaquin valley,,1,1,70,80.79,100,50,50,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
dvps,2020,sp,7560,6.2,depressional,vernal pool system,vernal pool system,8,2683,,70 - Ichord Ranch,"Vollmar Vernal Pools, Vernal Pool System CDF Central Valley 2020-2021",70,307,5/7/20,6/16/20 19:11,27:29.7,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,ambient,,,General,-120.57579,37.72848,0.95129,Stanislaus,san joaquin valley,,1,1,76,85.38,100,50,66.67,,,,,,,,,,,,,,,,,,,,dry,,1,,,,,natural,,,,,,
dvps,2020,sp,7561,6.2,depressional,vernal pool system,vernal pool system,8,2683,,173,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",173,307,5/18/20,6/16/20 19:50,13:13.5,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,,,,General,-120.24335,37.34363,0.83727,Merced,san joaquin valley,,1,1,79,93.29,100,91.67,29.17,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7562,6.2,depressional,vernal pool system,vernal pool system,8,2683,,18 - Ichord Ranch ,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",18,307,5/7/20,6/17/20 12:16,35:20.1,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,ambient,,,General,-120.36899,37.34225,1.59266,Merced,san joaquin valley,,1,1,70,93.29,100,58.33,29.17,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7563,6.2,depressional,vernal pool system,vernal pool system,8,2683,,185b - Drayer Ranch ,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",185b,307,5/8/20,6/17/20 13:52,35:18.0,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,ambient,,,General,-120.15186,37.21863,0.2609,Merced,san joaquin valley,,1,1,63,80.79,100,25,45.83,,,,,,,,,,,,,,,,,,,,dry,,1,,,,,natural,,,,,,
dvps,2020,sp,7564,6.2,depressional,vernal pool system,vernal pool system,8,2683,,57 - Ronnie Richards Ranch,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",57,307,5/8/20,6/17/20 14:36,44:02.5,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,ambient,,,General,-120.23568,37.25565,3.39882,Merced,san joaquin valley,,1,1,82,93.29,100,75,58.33,,,,,,,,,,,,,,,,,,,,,,1,,,,,natural,,,,,,
dvps,2020,sp,7565,6.2,depressional,vernal pool system,vernal pool system,8,2683,,82 - Ichord Ranch,"Vernal Pool System CDF Central Valley 2020-2021, Vollmar Vernal Pools",82,307,5/7/20,6/17/20 15:16,50:11.7,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,ambient,,,General,-120.39301,37.35751,0.99116,Merced,san joaquin valley,,1,1,80,93.29,100,83.33,41.67,,,,,,,,,,,,,,,,,,,,,,0,,,,,natural,,,,,,
dvps,2011,r,7881,5.0.2,depressional,vernal pool system,vernal pool system,8,127,,Wilcox Ranch AA#1,SFB VP RN,VPRN-004,,5/25/11,23:08.9,23:08.9,"Sarah Pearce (lead practitioner), Wendy Renz (other practitioner)",,,"Hand removal of purple star thistle- present, but not negative effect. Site is grazed. Air traffic from Travis AFB near-by. Rangeland managed for native vegetation- present, but not negative effect. Infact, its good for the pools. Restoration status: other; Ecram version: 1.6.0",2508,,-121.87189,38.26423,6.3142,Solano,bay/delta,,1,1,88,93.3,100,75,83.33,,,,,,,,,,,,,,,,,,,,,medium-duration,0,,,,,,,,,,,
divp,2011,r,7882,5.0.2,depressional,individual vernal pool,individual vernal pool,6,127,,Sam Jones Heritage,SFB VP RN,VPRN-002,,5/20/11,23:08.9,23:08.9,"Sarah Pearce (lead practitioner), Wendy Renz (other practitioner)",,,"Hattie Brown (Laguna de Santa Rosa Foundation) joined us on site. She describes the site more as a wet meadow, with one large individual pool and many interconnected areas and swales. The groundwater well is not in operation. They did not remove it because removal activities would negatively impact tiger salamander on site. There is a ditch along the east side, but is more than 50m from the AA. The ditch along the west side is less than 50m away. There is discing on adjacent property (fire break) but it is more than 50m away. Santa Rosa Foundation does vegetation management for Mentha pulegium. Site may have legacy heavy metals from previous airport operations, but that is unknown. The site has been completely mowed within the past 5 years (visible on Google Earth imagery). Herbicide was used in treatment of Mentha. Surrounding urban and light commercial buildings. A small nursery across the street. Historic air field. Restoration status: other; Ecram version: 1.6.0",2515,,-122.76814,38.41918,0.25947,Sonoma,bay/delta,,1,1,71,68.3,75,62.5,79.16,,,,,,,,,,,,,,,,,,,,,medium-duration,0,,,,,,,,,,,
dvps,2011,sp,7883,5.0.2,depressional,vernal pool system,vernal pool system,8,127,,Glide Tule Ranch,Glide AA#1,SF VP RN-03,,5/25/11,23:08.9,23:08.9,"Sarah Pearce (lead practitioner), Wendy Renz (other practitioner)",,,Enter at the intersection of County Road 38 and 106 through the locked gate. Pools enhanced by ranch roads. Ranch road berms Management could include grazing to improve pool condition Restoration status: other; Ecram version: 1.6.0,2541,,-121.67216,38.43361,12.77816,Yolo,bay/delta,,1,1,76,55.8,83.33,87.5,79.16,,,,,,,,,,,,,,,,,,,,,medium-duration,0,,,,,,,,,,,
dvps,2011,sp,7884,5.0.2,depressional,vernal pool system,vernal pool system,8,127,,Montezuma Preserve Pools,"Montezuma AA#1, Vernal Pool System HDC Central Valley 2020-2021",SF VP RN-01,,5/18/11,23:08.9,23:08.9,"Sarah Pearce (lead practitioner), Wendy Renz (other practitioner)",,,"Ponds 5, 2, 3 were ponded. Ponds 1a and 6 were saturated. Pond 7 was dry. Walk in on old railroad berm. Pool and Swale Density- 25, 69, 73, 50 = 54% = B Stressors: 1) Vegetated levee along south side of AA margin 2) Vegetation management is the sheep grazing plan 3) The area is grazed, but not excessively 4) The railroad berm >50m has alot of invasives 5) Rangeland is managed sheep grazing 6) There is duck hunting, but >500m away Restoration status: other; Ecram version: 1.6.0",2550,,-121.87243,38.0982,8.83762,Solano,bay/delta,,1,1,82,68.3,91.66,75,91.66,,,,,,,,,,,,,,,,,,,,,medium-duration,0,,,,,,,,,,,
dvps,2011,r,7888,5.0.2,depressional,vernal pool system,vernal pool system,8,127,,"Santa Rosa Vernal Pools, all","Santa Rosa, Reference","Santa Rosa Vernal Pools, all",,5/27/11,23:08.9,24:08.4,Christopher Solek (lead practitioner),Ayzik Solomesheh,,Restoration status: other; Ecram version: 1.6.0,2867,,-117.24246,33.53178,2.38987,Riverside,south coast,,1,1,76,55.8,100,50,100,,,,,,,,,,,,,,,,,,,,,long-duration,0,,,,,,,,,,,
dvps,2011,r,7890,5.0.2,depressional,vernal pool system,vernal pool system,8,127,,"Otay Mesa 5C J26, all",Reference Network,"Otay Mesa 5C J26, all",,5/26/11,23:08.9,24:08.4,Christopher Solek (lead practitioner),Ayzik Solomesheh,,"Located on Otay Truck Trail J26 Subunit 5C is located on eastern Otay Mesa in San Diego County, California. This subunit is on the far eastern side of Otay Mesa north of Alta Road and south of Lower Otay Reservoir. This site has been used to collect reference data for on-going restoration projects throught the Otay Mesa area. The site is visited each spring to monitor its hydrology, crustaceans, and vegetation.  Restoration status: other; Ecram version: 1.6.0",2879,,-116.92866,32.59797,0.43788,San Diego,south coast,,1,1,72,55.8,100,75,58.33,,,,,,,,,,,,,,,,,,,,,short-duration,0,,,,,,,,,,,
dvps,2021,sp,7986,6.2,depressional,vernal pool system,vernal pool system,8,2683,,8 Foothill Park,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 8,307,5/4/21,6/9/21 10:24,52:12.5,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,Very dry,,General,-121.82642,39.77815,1.85706,Butte,sacramento valley,,1,1,95,93.29,100,100,87.5,,,,,,,,,,,,,,,,,,,entire wetland,dry,,1,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7988,6.2,depressional,vernal pool system,vernal pool system,8,2683,,21 Reason Farms,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 21,307,5/11/21,6/9/21 12:17,59:33.9,"Henry Hwang (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,,,General,-121.42833,38.8152,1.64704,Placer,sacramento valley,,1,1,77,68.29,100,58.33,83.33,,,,,,,,,,,,,,,,,,,portion of the wetland,,,0,,,,,created - portion of wetland,,,,,,
dvps,2021,sp,7989,6.2,depressional,vernal pool system,vernal pool system,8,2683,,15 Cottonwood Creek,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 15,307,4/13/21,6/9/21 13:56,56:14.9,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,,,General,-119.4004,36.43455,1.71323,Tulare,san joaquin valley,,1,1,57,80.79,66.67,50,29.17,,,,,,,,,,,,,,,,,,,entire wetland,dry,,,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7990,6.2,depressional,vernal pool system,vernal pool system,8,2683,,19 Noonan Ranch ,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 19 ,307,4/14/21,6/9/21 14:39,00:27.7,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,mitigation,Vanden Road located to the northwest,,General,-121.95667,38.28957,1.98513,Solano,bay/delta,,1,1,52,68.29,58.33,50,33.33,,,,,,,,,,,,,,,,,,,entire wetland,dry,,,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7991,6.2,depressional,vernal pool system,vernal pool system,8,2683,,7 Rancho Seco AA #1,Vollmar Vernal Pools,HDC 7,307,5/7/21,6/9/21 15:12,31:49.5,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,"<p>Pretty ungrazed currently</p><p>One pool in AA restored in 2011, rest in 1996-1997 (see map scans)</p><p>This fenced area comprised of only restored pools.</p>",,General,-121.07824,38.34136,3.04057,Sacramento,sacramento valley,,1,1,83,93.29,100,75,62.5,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,restored - entire wetland,,,,,,
dvps,2021,sp,7992,6.2,depressional,vernal pool system,vernal pool system,8,2683,,"2 Elsie Gridley, Phase 1","Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 2,307,4/13/21,6/9/21 16:00,07:37.0,"John Vollmar (lead practitioner), Ivy Poisson (other practitioner)",,mitigation,stream located south of AA,,General,-121.79843,38.28171,3.72073,Solano,bay/delta,,1,1,80,93.29,66.67,75,83.33,,,,,,,,,,,,,,,,,,,entire wetland,dry,,1,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7993,6.2,depressional,vernal pool system,vernal pool system,8,2683,,7 Rancho Seco AA#2,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 7,307,6/3/21,6/9/21 16:42,06:29.0,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,mitigation,"<p>Pools dry except one pool, (largest and deepest of VPS) holds at least several inches of water.</p><p>Several other pools onsite still hold water! At least several inches deep in each.</p><p>Many complexly shaped deep/ large pools throughout</p>",,General,-121.08237,38.3372,1.10124,Sacramento,sacramento valley,,1,1,91,93.29,100,91.67,79.17,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,restored - entire wetland,,,,,,
dvps,2021,sp,7995,6.2,depressional,vernal pool system,vernal pool system,8,2683,,22 Markham Ravine,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 22,307,4/23/21,6/10/21 10:35,05:09.7,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,"According to mitigation plan, site is within floodplain at the ravine- Periodically floods during large storm events.",,General,-121.45591,38.88757,1.77738,Placer,sacramento valley,,1,1,81,93.29,83.33,66.67,79.17,,,,,,,,,,,,,,,,,,,entire wetland,,,1,,,,,restored - entire wetland,,,,,,
dvps,2021,sp,7996,6.2,depressional,vernal pool system,vernal pool system,8,2683,,6 Roseville Preserve #2,Vollmar Vernal Pools,HDC 6,307,4/7/21,6/10/21 11:03,44:58.5,"Misaki  Yonashiro (lead practitioner), Henry Hwang (other practitioner)",,mitigation,<p>There is a dry stream directly adjacent to replicate pool #2.</p><p>Large pools with distinct berms around edge.</p><p>Moderate human visitation- bike trails+ hike trails</p><p></p>,,General,-121.32105,38.80269,0.5553,Placer,sacramento valley,,1,1,64,57.92,66.67,50,83.33,,,,,,,,,,,,,,,,,,,entire wetland,dry,,1,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7997,6.2,depressional,vernal pool system,vernal pool system,8,2683,,18 Yosemite Lake,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 18,307,4/13/21,6/10/21 11:34,37:40.0,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,mitigation,"There's a berm along the stream west of the AA, doesn't connect.",,General,-120.44162,37.38737,2.47376,Merced,san joaquin valley,,1,1,72,93.29,83.33,66.67,45.83,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7998,6.2,depressional,vernal pool system,vernal pool system,8,2683,,26 Gill Ranch AA #1,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 26,307,4/27/21,6/10/21 12:02,26:51.0,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,mitigation,"<p>Constructed pools within AA, but larger watershed holds both natural and constructed pools.</p><p>Beautiful ranch!</p><p>AA within same watershed, connected by subsurface flow.</p><p>Stream/creek north of AA, but AA sits more upland/higher elevation.</p>",,General,-121.11997,38.41394,1.6278,Sacramento,sacramento valley,,1,1,85,93.29,100,66.67,79.17,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,7999,6.2,depressional,vernal pool system,vernal pool system,8,2683,,26 Gill Ranch AA#2,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 26,307,4/27/21,6/10/21 12:29,36:47.8,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,very nice site,,General,-121.09867,38.41973,2.92095,Sacramento,sacramento valley,,1,1,90,93.29,100,83.33,83.33,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,8000,6.2,depressional,vernal pool system,vernal pool system,8,2683,,26 Gill Ranch AA #3,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 26,307,4/27/21,6/10/21 12:46,34:03.4,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,,,General,-121.10917,38.42014,2.08645,Sacramento,sacramento valley,,1,1,82,80.79,100,58.33,87.5,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,8001,6.2,depressional,vernal pool system,vernal pool system,8,2683,,27 Van Vleck Ranch,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 27,307,5/7/21,6/10/21 13:24,21:26.8,"Cassie Pinnell (lead practitioner), Misaki  Yonashiro (other practitioner)",,mitigation,"<p>Adjacent lake but AA sits atop hill, water from flood would not reach it</p><p></p>",,General,-121.05643,38.45933,0.45758,Sacramento,sacramento valley,,1,1,88,93.29,100,58.33,100,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,8002,6.2,depressional,vernal pool system,vernal pool system,8,2683,,9 Moore Ranch AA #1,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 9,307,4/26/21,6/10/21 14:13,57:05.3,"John Vollmar (lead practitioner), Henry Hwang (other practitioner)",,restoration,"Intrusion of upland grasses into pool basins due to drought conditions. Pool bottoms still dominated by VP plants. Deep, flat-bottomed pools functioning well.",,General,-121.3594,38.84858,1.08599,Placer,sacramento valley,,1,1,87,93.29,91.67,66.67,95.83,,,,,,,,,,,,,,,,,,,entire wetland,dry,,1,,,,,restored - entire wetland,,,,,,
dvps,2021,sp,8003,6.2,depressional,vernal pool system,vernal pool system,8,2683,,9 Moore Ranch AA #2,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 9,307,4/26/21,6/10/21 14:30,58:10.5,"John Vollmar (lead practitioner), Henry Hwang (other practitioner)",,restoration,,,General,-121.35983,38.85046,1.9591,Placer,sacramento valley,,1,1,85,93.29,91.67,66.67,87.5,,,,,,,,,,,,,,,,,,,entire wetland,dry,,1,,,,,restored - entire wetland,,,,,,
dvps,2021,sp,8004,6.2,depressional,vernal pool system,vernal pool system,8,2683,,9 Moore Ranch AA #3,Vollmar Vernal Pools,HDC 9,307,4/26/21,6/10/21 15:17,35:24.6,"John Vollmar (lead practitioner), Henry Hwang (other practitioner)",,restoration,,,General,-121.36302,38.85003,0.88964,Placer,sacramento valley,,1,1,70,93.29,91.67,50,45.83,,,,,,,,,,,,,,,,,,,entire wetland,dry,,1,,,,,restored - entire wetland,,,,,,
dvps,2021,sp,8005,6.2,depressional,vernal pool system,vernal pool system,8,2683,,1 Madera Caltrans AA#1,"Vernal Pool System HDC Central Valley 2020-2021, Vollmar Vernal Pools",HDC 1,307,4/19/21,6/10/21 16:03,25:07.7,"John Vollmar (lead practitioner), Henry Hwang (other practitioner)",,mitigation,<p>Vey dry conditions</p><p></p>,,General,-119.7924,36.94376,0.80832,Madera,san joaquin valley,,1,1,71,80.79,91.67,50,62.5,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,8007,6.2,depressional,vernal pool system,vernal pool system,8,2683,,Madera Caltrans AA #2,"Vollmar Vernal Pools, Vernal Pool System HDC Central Valley 2020-2021",HDC 1,307,4/19/21,6/11/21 16:17,16:21.7,"John Vollmar (lead practitioner), Henry Hwang (other practitioner)",,mitigation,very dry conditions,,General,-119.78932,36.94844,1.80993,Madera,san joaquin valley,,1,1,83,93.29,100,75,62.5,,,,,,,,,,,,,,,,,,,portion of the wetland,dry,,0,,,,,created - portion of wetland,,,,,,
dvps,2021,sp,8008,6.2,depressional,vernal pool system,vernal pool system,8,2683,,11 Woodcreek West AA #1,Vollmar Vernal Pools,HDC 11,307,4/20/21,6/11/21 16:52,04:04.8,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,mitigation,"<p>- one preserved pool in AA, replicates chosen from previous replicates from 2011.</p><p>- modified AA does not include preserved pool.&nbsp;</p>",,General,-121.34479,38.76493,1.9738,Placer,sacramento valley,modified AA because over 10 VPs in original AA,1,1,66,57.92,58.33,75,70.83,,,,,,,,,,,,,,,,,,,entire wetland,,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,8009,6.2,depressional,vernal pool system,vernal pool system,8,2683,,11 Woodcreek West AA#2,Vollmar Vernal Pools,HDC 11,307,4/20/21,6/11/21 17:35,23:58.8,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,mitigation,,,General,-121.3504,38.76428,0.52335,Placer,sacramento valley,,1,1,69,70.42,66.67,50,87.5,,,,,,,,,,,,,,,,,,,entire wetland,dry,,0,,,,,created - entire wetland,,,,,,
dvps,2021,sp,8028,6.2,depressional,vernal pool system,vernal pool system,8,2683,,10 HRS Parcel 93,Vollmar Vernal Pools,HDC 10,307,4/2/21,6/16/21 8:16,26:08.7,"Misaki  Yonashiro (lead practitioner), Cassie Pinnell (other practitioner)",,mitigation,,,General,-121.27459,38.77158,0.22316,Placer,sacramento valley,,1,1,71,70.42,66.67,83.33,62.5,,,,,,,,,,,,,,,,,,,portion of the wetland,dry,,0,,,,,created - portion of wetland,,,,,,
